fid;Norm Integrate;Norm Integrate;Norm Public Green;Norm Public Area;Norm public amenities;PM10_normnew;PM25_normnew;NO2_normnew;SO2_normnew;BAP_normnew;BZN_normnew;Treec_norm;Buildings_clipped_intersected_NEW_pc;n_weighed_uniq_bio_hab;Normalized_eco_corr_overlap_area;N_round_m_floodpplain biotope value;Floodplain_restoration_rounded;Percentage_habitat_n;n_w_length;majority_value;Imper_norm;LST_norm;Floodplain Norm;NDVI_norm
66;0,1189;0,1189;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0310;2,0000;0,8590;1,6996;0,3000;0,0000;0,0000;0,0000;0,4000;0,0000;0,0000;0,0000;0,7080;0,0000;0,2370
67;0,0000;0,0000;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,2000;0,0310;2,0000;0,0000;0,8810;0,1000;0,0000;0,0000;0,0000;0,7000;0,0000;0,0000;0,0000;0,7060;0,0000;0,1440
68;0,0000;0,0000;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;0,4510;0,0000;0,1000;0,0000;0,0000;0,0000;0,4000;0,0000;0,0000;0,0000;0,6540;0,0000;0,0750
69;0,0244;0,0244;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;1,0000;0,0000;0,3000;0,0000;0,0000;0,0000;0,9000;0,0000;0,0000;0,0000;0,6330;0,0000;0,2570
70;1,0000;1,0000;0,0000;0,0000;0,0000;0,3330;0,2000;0,1430;0,4000;0,0630;2,0000;1,0000;1,7566;0,3000;0,0000;0,0000;0,0000;0,4000;0,0000;0,0000;0,0000;0,6300;0,0000;0,2610
71;0,7448;0,7448;0,0000;0,0000;0,0000;0,3330;0,2000;0,1430;0,4000;0,0630;2,0000;0,6560;5,8596;0,3000;0,1000;0,0000;0,0000;0,1000;0,0000;0,0000;0,1020;0,6110;0,0000;0,3790
72;0,0082;0,0082;0,0000;0,0000;0,0000;0,3330;0,2000;0,1430;0,4000;0,0630;2,0000;0,7550;9,8444;0,4000;0,0000;0,0000;0,0000;0,4000;0,0000;1,0000;0,2450;0,5720;1,0000;0,3800
73;0,0000;0,0000;0,0000;0,0000;0,0000;0,3330;0,2000;0,1430;0,4000;0,0630;2,0000;0,8380;0,0422;0,3000;0,3000;0,0000;0,0000;0,9000;0,0000;1,0000;0,0080;0,5720;1,0000;0,2380
74;0,0000;0,0000;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;0,7580;1,0191;0,3000;0,0000;0,0000;0,0000;1,0000;0,0000;3,0000;0,0000;0,5720;3,0000;0,2560
75;0,4864;0,4864;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;1,0000;3,0332;0,1000;0,0000;0,0000;0,0000;0,3000;0,0000;2,0000;0,0000;0,5720;2,0000;0,3140
76;0,0000;0,0000;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,2000;0,0630;2,0000;0,9030;8,4022;0,1000;0,1000;0,0000;0,0000;0,2000;0,0000;2,0000;0,1810;0,5160;2,0000;0,3610
77;0,0504;0,0504;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,2000;0,0630;2,0000;0,2350;3,2187;0,1000;0,0000;0,0000;0,0000;0,5000;0,0000;0,0000;0,0390;0,5160;0,0000;0,2590
78;0,3042;0,3042;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;1,0000;4,5006;0,1000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0470;0,5160;0,0000;0,2720
79;0,0526;0,0526;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;1,0000;6,0947;0,0000;0,1000;0,0000;0,0000;0,0000;0,0000;0,0000;0,1730;0,5160;0,0000;0,3340
80;0,3531;0,3531;0,0000;0,0000;0,0000;0,1670;0,2000;0,1430;0,4000;0,0630;2,0000;1,0000;9,2759;0,1000;0,1000;0,0000;0,0000;0,3000;0,0000;0,0000;0,2360;0,5160;0,0000;0,3850
